repository	pkgbase	version	pkgbuild_sha256	packages	source_files
alarm	libpisp	1.5.0-1	d84ff191196d7edf6a28c65241d40eb3f51e08e5d922c3797e3af2248520da19	libpisp	https://archlinuxarm.org/packages/aarch64/libpisp/files
core	acl	2.4.0-1	a4e556c0a43fc27000ef25bdcf7d7bf5c700eb7145e6c9c84f170b3621f67927	acl	https://archlinuxarm.org/packages/aarch64/acl/files
core	archlinux-keyring	20260707.1-1	66fd3a40d2e900c9f4c7b1315f3b76ae92ca3aaa6fae40eca91ca91bab1b25a7	archlinux-keyring	https://archlinuxarm.org/packages/aarch64/archlinux-keyring/files
core	archlinuxarm-keyring	20240419-2	bcfa4e1746133628cc2bdf548152bb5e04b74817ea8d132dc0ef67203195b1c3	archlinuxarm-keyring	https://archlinuxarm.org/packages/aarch64/archlinuxarm-keyring/files
core	attr	2.6.0-1	610792f7ea41ac5a6d2ba0e5844d7614061eb9c7bea5e072a41fb2e3c029c7f5	attr	https://archlinuxarm.org/packages/aarch64/attr/files
core	audit	4.1.4-2	73d4355e1ab72451ad433c51942f7f0f93c71647b2cd2a2cda46c98432349ef6	audit	https://archlinuxarm.org/packages/aarch64/audit/files
core	base	3-3	5b4b7641591fde1e50f83b69c80450441e96b5ac2a4284fec5cdbcc089137e37	base	https://archlinuxarm.org/packages/aarch64/base/files
core	bash	5.3.15-1	ab4fdd682d77811b531a7741917df217718dc46220c66c0303d332854742b09f	bash	https://archlinuxarm.org/packages/aarch64/bash/files
core	binutils	2.46+r70+g155188ea10a7-1	60081fda03863810a08d8f6fab33c9e885e36933cf75bab4e555e6561212d673	binutils	https://archlinuxarm.org/packages/aarch64/binutils/files
core	brotli	1.2.0-1	7e09cbe15c6b8036f85c2faa2ea423f6115e21f84e7c5da10a8492adef816dcb	brotli	https://archlinuxarm.org/packages/aarch64/brotli/files
core	btrfs-progs	7.1-1	00904967911fdf32a2b418106fa8a6630b1bc11d32d139909ae000ef360dcd69	btrfs-progs	https://archlinuxarm.org/packages/aarch64/btrfs-progs/files
core	bzip2	1.0.8-6	02a7daeb697009006d66eb4dc7d1732c050c6b3636cc275b4786f69c409a03ea	bzip2	https://archlinuxarm.org/packages/aarch64/bzip2/files
core	ca-certificates	20240618-1	781ed256a62068ba00325fcf1057cdb3cea1711c85ad753602b368be9c556ac2	ca-certificates,ca-certificates-utils	https://archlinuxarm.org/packages/aarch64/ca-certificates/files
core	coreutils	9.11-2	574349820b8ff3b63e894a024fd12ff1eb4e83889708fb90bab8dd29e0ef8c37	coreutils	https://archlinuxarm.org/packages/aarch64/coreutils/files
core	cracklib	2.10.3-1	f37c3a9621abe863629e70efcac9f68cdca212ecc657c8a19ef139401dcd6e4a	cracklib	https://archlinuxarm.org/packages/aarch64/cracklib/files
